time,ET_cap_m3_day,ET_no_cap_m3_day,ET_m3_day,ET_cap_m_day,ET_no_cap_m_day,SSEBop_ET_m_day
2004-04-13,4929065061.127489,4944318254.7599945,6087088000.0,2.4067700493786566,2.4142178978320286,2.957074498711248
2004-04-14,5998303617.717627,5892151796.215237,4893549000.0,2.9288591883386847,2.877027244245721,2.3772596939774697
2004-04-15,8998522920.605345,8580050789.522487,4843816400.0,4.393810019826828,4.189477924571527,2.353099865301655
2004-04-16,8787613928.044624,8008898836.577519,4534489600.0,4.290827113303039,3.910595135047617,2.20283057528187
2004-04-17,9745003061.011194,8460637520.301581,4668415000.0,4.758302275884372,4.1311706642097565,2.2678908118136407
2004-04-18,9387292802.076862,7830620553.871992,4852551700.0,4.583639063514093,3.8235451923203088,2.357343426897708
2004-04-19,8352828782.666264,6803755122.15897,5212632000.0,4.0785296790362615,3.3221460557416846,2.532268493303565
2004-04-21,9309337810.711441,8273879110.412964,5309647400.0,4.5455751028864455,4.03998003438133,2.579398051036634
2004-04-22,9125720691.319172,7646490189.654886,5080899600.0,4.455918306308189,3.733637787917425,2.4682736043362903
2004-04-23,7513564393.196374,6145281598.815432,4745799700.0,3.668732613865417,3.0006257806715975,2.305483881432549
2004-04-24,9347414774.771713,8954451609.837078,5461212000.0,4.564167370494,4.372290825115761,2.6530273157305846
2004-04-25,7965689676.945597,7288623472.373577,5106081000.0,3.8894969125710923,3.5588981798699106,2.4805065925536196
2004-04-26,11513095831.06432,11548995426.597652,5327493000.0,5.621628823761875,5.639157923143385,2.588067347204884
2004-04-27,9169952389.990246,9567905854.11536,5954891000.0,4.477515815424924,4.671829030329766,2.8928539095713948
2004-04-28,11092996961.028458,11378987941.061684,5753561600.0,5.416502422377176,5.556146455596525,2.795049173615411
2004-04-29,10550828776.106041,10615080170.885508,5664102400.0,5.151771863333027,5.183144614690189,2.7515903770619343
2004-04-30,13514877345.522205,13665656609.31305,7371510300.0,6.599061203868264,6.6726838912661375,3.5810399200927114
