time,ET_cap_m3_day,ET_no_cap_m3_day,ET_cap_m_day,ET_no_cap_m_day,ET_mm_day,SSEBop_ET_m_day
2004-05-13,2634144.795450713,2185129.7108362876,0.0012862035134036684,0.001066957866619281,2.4244978,0.0024244978
2004-05-14,3142056.259786361,2941458.511523015,0.001534207158098809,0.0014362590388295971,2.0681932,0.0020681932
2004-05-15,3379117.8372849603,3102475.1452829633,0.001649959881486797,0.0015148804420326968,2.2791567,0.0022791567000000003
2004-05-16,4269946.493971802,3670814.524754881,0.002084934811509669,0.0017923899046654692,2.4890518,0.0024890517999999998
2004-05-17,5060443.404262887,4051252.787137893,0.002470919630987738,0.0019781507749696745,2.7580981,0.0027580981
2004-05-18,4885895.828993974,3643338.527164957,0.002385691322750964,0.0017789738902172642,3.0603445,0.0030603444999999997
2004-05-19,4959036.910959656,3378444.339149784,0.0024214047416795197,0.0016496310249754804,2.7390544,0.0027390544
2004-05-20,4953175.6023061965,3181706.052077216,0.0024185427745635727,0.0015535674082408281,2.5879467,0.0025879466999999996
2004-05-21,5189234.569779572,3080165.0295401216,0.0025338059422751816,0.0015039868308301375,2.769925,0.0027699250000000003
2004-05-22,5233624.485658518,2855595.1298826183,0.002555480705887948,0.0013943335595129971,2.9627795,0.0029627794999999998
2004-05-23,4469028.879399583,2243148.84688872,0.0021821430075193277,0.001095287522894883,2.8170364,0.0028170364
2004-05-24,4331360.938618708,1956295.6923349358,0.002114922333309916,0.0009552225060229178,1.6245202,0.0016245202
2004-05-25,4325456.494233771,1861171.7446257414,0.0021120393038250836,0.0009087752659305378,1.678883,0.001678883
2004-05-26,3884955.408653371,1491277.374404494,0.0018969508831315287,0.0007281627804709444,1.7083977,0.0017083977
2004-05-27,3318665.732441874,1134377.838975157,0.0016204422521688838,0.0005538954291870883,1.7287177,0.0017287177
2004-05-28,3594372.662936618,2029579.6574261608,0.0017550647768245205,0.0009910056921026175,1.9107097,0.0019107097
2004-05-29,4950447.102496978,1693897.7907316957,0.0024172104992661024,0.0008270985306307108,2.1228018,0.0021228018
2004-05-30,4202035.102082438,1044051.9703060491,0.0020517749521886904,0.0005097910011260005,1.9473519,0.0019473518999999998
2004-05-31,3509156.542236067,725819.2242800744,0.0017134553428887046,0.0003544039181055051,1.9057796,0.0019057796
2004-06-01,3645525.1524874493,637032.1846477453,0.0017800415783630124,0.0003110508714100319,2.724503,0.002724503
2004-06-02,3544910.280533113,589894.5270582548,0.001730913222916559,0.0002880344370401635,2.7467275,0.0027467275
2004-06-03,3919691.2668356793,3645687.3636910077,0.001913911751384609,0.0017801207830522498,3.1374505,0.0031374505
2004-06-04,4026272.204054537,3906378.525711406,0.0019659532246360046,0.0019074113895075225,2.7154303,0.0027154303
