time,spatial_ref,ET_m3_day
2020-10-09,0,636646.0
2020-10-10,0,666047.06
2020-10-11,0,591862.0
2020-10-12,0,606026.06
2020-10-13,0,583725.06
2020-10-14,0,556779.0
2020-10-15,0,1544.0001
2020-10-16,0,1470.0
2020-10-17,0,1396.0001
2020-10-18,0,1323.0001
2020-10-19,0,1470.0
2020-10-20,0,1323.0001
2020-10-21,0,1323.0001
2020-10-22,0,1102.0001
2020-10-23,0,1147.0
2020-10-25,0,1138.0
2020-10-26,0,1156.0
2020-10-27,0,1219.0001
2020-10-28,0,1075.0
2020-10-29,0,1219.0001
2020-10-30,0,1147.0
2020-10-31,0,0.0
2020-11-01,0,0.0
2020-11-02,0,0.0
2020-11-03,0,0.0
2020-11-04,0,0.0
2020-11-05,0,0.0
2020-11-06,0,0.0
2020-11-07,0,0.0
2020-11-08,0,0.0
2020-11-09,0,0.0
2020-11-10,0,0.0
2020-11-11,0,0.0
2020-11-12,0,0.0
2020-11-13,0,0.0
2020-11-14,0,0.0
2020-11-15,0,0.0
2020-11-16,0,9611.0
2020-11-17,0,8511.0
2020-11-18,0,9917.0
2020-11-19,0,11691.001
2020-11-20,0,8693.001
2020-11-21,0,7906.0
2020-11-22,0,8693.001
2020-11-23,0,8511.0
2020-11-24,0,0.0
2020-11-25,0,0.0
2020-11-26,0,0.0
2020-11-27,0,0.0
2020-11-28,0,0.0
2020-11-29,0,0.0
2020-11-30,0,0.0
2020-12-01,0,0.0
2020-12-02,0,0.0
2020-12-03,0,0.0
2020-12-04,0,0.0
2020-12-05,0,0.0
2020-12-06,0,0.0
2020-12-07,0,0.0
2020-12-08,0,0.0
2020-12-09,0,0.0
2020-12-10,0,0.0
2020-12-11,0,0.0
2020-12-12,0,0.0
2020-12-13,0,0.0
2020-12-14,0,0.0
2020-12-15,0,0.0
2020-12-16,0,0.0
2020-12-17,0,0.0
2020-12-18,0,115.0
2020-12-19,0,134.0
2020-12-20,0,172.0
2020-12-21,0,153.00002
2020-12-22,0,115.0
2020-12-23,0,153.00002
2020-12-24,0,172.0
2020-12-25,0,134.0
2020-12-26,0,0.0
2020-12-27,0,0.0
2020-12-28,0,0.0
2020-12-29,0,0.0
2020-12-30,0,0.0
2020-12-31,0,0.0
2021-01-01,0,0.0
2021-01-02,0,0.0
2021-01-03,0,0.0
2021-01-04,0,0.0
2021-01-05,0,0.0
2021-01-06,0,0.0
2021-01-07,0,0.0
2021-01-08,0,0.0
2021-01-09,0,1821.0001
2021-01-10,0,2081.0
2021-01-11,0,2081.0
2021-01-12,0,2081.0
2021-01-13,0,2552.0002
2021-01-14,0,1959.0
2021-01-15,0,1781.0
2021-01-16,0,1781.0
2021-01-17,0,0.0
2021-01-18,0,0.0
2021-01-19,0,0.0
2021-01-20,0,0.0
2021-01-21,0,0.0
2021-01-22,0,0.0
2021-01-23,0,0.0
2021-01-24,0,0.0
2021-01-25,0,51082.0
2021-01-26,0,43681.0
2021-01-27,0,52654.0
2021-01-28,0,51389.0
2021-01-29,0,52358.0
2021-01-30,0,48966.0
2021-01-31,0,52647.004
2021-02-01,0,63995.01
2021-02-02,0,2242.0
2021-02-03,0,2242.0
2021-02-04,0,2257.0
2021-02-05,0,2494.0
2021-02-06,0,2113.0002
2021-02-07,0,2199.0002
2021-02-08,0,2469.0002
2021-02-09,0,2339.0
2021-02-10,0,62391.004
2021-02-11,0,66787.01
2021-02-12,0,62122.004
2021-02-13,0,70634.99
2021-02-14,0,72259.0
2021-02-15,0,74462.0
2021-02-16,0,61536.004
2021-02-17,0,73203.01
2021-02-18,0,100350.01
2021-02-20,0,98863.01
2021-02-21,0,85342.016
2021-02-22,0,88720.0
2021-02-23,0,83767.016
2021-02-24,0,84541.01
2021-02-25,0,80845.0
2021-02-26,0,137928.02
2021-02-27,0,122413.01
2021-02-28,0,150328.02
2021-03-01,0,156171.02
2021-03-02,0,154693.0
2021-03-03,0,189501.02
2021-03-04,0,178338.0
2021-03-05,0,187992.0
2021-03-06,0,490721.97
2021-03-07,0,581645.0
2021-03-08,0,699573.06
2021-03-09,0,637504.06
2021-03-10,0,655373.06
2021-03-11,0,769101.06
2021-03-12,0,730212.06
2021-03-13,0,625900.0
2021-03-14,0,801408.0
2021-03-15,0,909568.06
2021-03-16,0,853035.06
2021-03-17,0,801707.0
2021-03-18,0,880739.06
2021-03-19,0,851465.06
2021-03-20,0,854044.06
2021-03-21,0,812692.1
2021-03-22,0,73374.01
2021-03-23,0,71392.0
2021-03-24,0,82774.0
2021-03-25,0,79171.0
2021-03-26,0,71972.01
2021-03-27,0,93574.0
2021-03-28,0,92781.01
2021-03-29,0,83050.01
2021-03-30,0,891460.0
2021-03-31,0,940232.06
2021-04-02,0,909767.06
2021-04-03,0,1012600.06
2021-04-04,0,931268.1
2021-04-05,0,787233.06
2021-04-06,0,967239.0
2021-04-07,0,99772.01
2021-04-08,0,93098.01
2021-04-09,0,106209.01
2021-04-10,0,122838.01
2021-04-11,0,115994.01
2021-04-12,0,107451.01
2021-04-13,0,113923.01
2021-04-14,0,132878.0
2021-04-15,0,1510933.1
2021-04-16,0,1373117.1
2021-04-17,0,1218873.0
2021-04-18,0,1496452.0
2021-04-19,0,1573963.1
2021-04-20,0,1643544.2
2021-04-21,0,1634411.1
2021-04-22,0,1467123.0
2021-04-23,0,2087896.1
2021-04-24,0,2983421.8
2021-04-25,0,3222850.0
2021-04-26,0,3195707.2
2021-04-27,0,2907333.0
2021-04-28,0,3499788.0
2021-04-29,0,3705285.0
2021-04-30,0,3426672.5
2021-05-01,0,3671231.5
2021-05-02,0,3344344.2
2021-05-03,0,3300552.2
2021-05-04,0,3480264.2
2021-05-05,0,3678173.0
2021-05-06,0,3572673.0
2021-05-07,0,4131652.0
2021-05-08,0,4038618.5
2021-05-09,0,3340775.0
2021-05-10,0,4174912.0
2021-05-11,0,3783533.0
2021-05-12,0,3846531.2
2021-05-13,0,3654716.2
2021-05-14,0,3766412.0
2021-05-15,0,3702572.2
2021-05-16,0,2940915.0
2021-05-17,0,2571418.2
2021-05-18,0,2690217.0
2021-05-19,0,3018402.0
2021-05-20,0,3131645.0
2021-05-21,0,3176965.0
2021-05-22,0,2878240.2
2021-05-23,0,2102760.0
2021-05-24,0,2680473.0
2021-05-25,0,3840517.0
2021-05-26,0,3766410.0
2021-05-27,0,3619372.2
2021-05-28,0,4266400.0
2021-05-29,0,3776375.0
2021-05-30,0,4026563.2
2021-05-31,0,3787444.2
2021-06-01,0,3970574.0
2021-06-02,0,3096649.2
2021-06-03,0,2814762.0
2021-06-04,0,2909572.2
2021-06-05,0,2701036.2
2021-06-06,0,3059011.2
2021-06-07,0,2583628.2
2021-06-08,0,3412642.2
2021-06-09,0,3118423.2
2021-06-10,0,5112343.5
2021-06-11,0,4074501.0
2021-06-12,0,4394261.0
2021-06-13,0,4183533.2
2021-06-14,0,3771216.5
